game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_14_NE_ARI,2022,14,3045147,0.3916364875263859,60.4,1,1,0,3,2,0.3333333333333333,0.3333333333333333
2022_15_SF_SEA,2022,15,3117251,0.6517576855541986,100.0,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_15_BAL_CLE,2022,15,3051926,0.31594285934451605,59.6,0,0,0,1,1,0.0,0.0
2022_15_IND_MIN,2022,15,3116593,0.6718640359725165,98.1,1,1,0,6,5,0.16666666666666666,0.3333333333333333
2022_15_MIA_BUF,2022,15,4040761,0.3643902170945953,58.5,0,1,0,7,7,0.14285714285714285,0.14285714285714285
2022_15_ARI_DEN,2022,15,3045147,0.4596657506117682,69.8,1,1,1,4,4,0.5,0.5
2022_15_ATL_NO,2022,15,15807,0.27622005435075636,63.5,1,1,0,4,4,0.25,0.25
2022_15_CIN_TB,2022,15,3116385,0.5450020292646516,73.0,0,1,0,6,6,0.16666666666666666,0.16666666666666666
2022_15_DAL_JAX,2022,15,3051392,0.6515263854519577,68.0,1,1,1,5,5,0.2,0.2
2022_15_DET_NYJ,2022,15,2980453,0.5268918571473491,84.5,0,0,0,2,2,0.0,0.0
2022_15_KC_HOU,2022,15,15847,0.33642088476865406,46.9,0,0,0,6,6,0.0,0.0
2022_15_NE_LV,2022,15,4047365,0.49464956888840084,90.6,0,0,0,4,4,0.0,0.25
2022_15_NYG_WAS,2022,15,3929630,0.40368145202223793,91.3,1,1,1,2,1,0.5,0.5
2022_15_PHI_CHI,2022,15,4040715,0.6868225376200288,58.4,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_15_PIT_CAR,2022,15,4241457,0.4124443723854655,82.9,1,1,0,4,4,0.25,0.25
2022_15_TEN_LAC,2022,15,3068267,0.5796267681640477,96.5,1,1,1,4,4,0.5,0.5
2022_15_LA_GB,2022,15,4248528,0.3703957634442917,40.2,0,1,1,3,2,0.3333333333333333,0.3333333333333333
2022_16_JAX_NYJ,2022,16,3895856,0.330099234223163,45.6,0,0,0,1,1,0.0,0.0
2022_16_ATL_BAL,2022,16,15807,0.289691562400719,68.6,0,0,0,1,1,0.0,0.0
2022_16_BUF_CHI,2022,16,4040761,0.45376329799135884,69.0,1,1,0,6,6,0.3333333333333333,0.3333333333333333
2022_16_CIN_NE,2022,16,4362628,0.5483172522150329,82.9,0,0,0,4,4,0.0,0.25
2022_16_DET_CAR,2022,16,2980453,0.508645365080128,79.4,0,0,1,5,5,0.0,0.0
2022_16_HOU_TEN,2022,16,3043078,0.6458250692318169,100.0,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_16_LV_PIT,2022,16,4241457,0.44793582537948473,75.1,0,0,0,2,2,0.0,0.0
2022_16_NO_CLE,2022,16,3929645,0.4193135868399207,54.7,0,0,0,3,3,0.0,0.3333333333333333
2022_16_NYG_MIN,2022,16,3116593,0.5812993558335855,95.3,0,1,1,4,4,0.25,0.5
2022_16_PHI_DAL,2022,16,4045163,0.5629136102105528,61.8,0,1,0,5,4,0.2,0.2
2022_16_SEA_KC,2022,16,4047650,0.5813597046246777,68.3,0,0,0,4,4,0.0,0.25
2022_16_WAS_SF,2022,16,3117251,0.5090853962551698,100.0,1,1,1,6,3,0.16666666666666666,0.16666666666666666
2022_16_DEN_LA,2022,16,15920,0.46638676301652204,88.0,0,0,0,3,1,0.0,0.0
2022_16_GB_MIA,2022,16,3042519,0.42081636429138836,58.1,0,0,0,4,3,0.0,0.0
2022_16_TB_ARI,2022,16,3045147,0.6049083284498569,99.7,1,1,1,2,2,0.5,0.5
2022_16_LAC_IND,2022,16,3068267,0.7315886656778458,100.0,1,1,1,1,1,1.0,1.0
2022_17_DAL_TEN,2022,17,3051392,0.5704364400408621,94.5,1,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_17_ARI_ATL,2022,17,3045147,0.46436334038037674,79.2,0,1,0,3,3,0.3333333333333333,0.6666666666666666
2022_17_CAR_TB,2022,17,16737,0.3785421552058269,46.4,1,1,0,5,5,0.2,0.4
2022_17_CHI_DET,2022,17,2980453,0.5685066961702069,76.9,1,1,0,4,4,0.5,0.5
2022_17_CLE_WAS,2022,17,3128720,0.35082204599366595,83.7,0,1,0,3,2,0.3333333333333333,0.3333333333333333
2022_17_DEN_KC,2022,17,4241463,0.3719076934263278,54.5,0,0,0,5,5,0.0,0.0
